,Song,Artist
721,Ya no me engañas,Los Ronaldos
722,Corazón de tiza,Radio Futura
723,Step by step,New Kids on the Block
724,Es por tu amor,Modestia Aparte
725,Los chicos no lloran,Miguel Bosé
726,I can't stand it,Twenty 4 Seven
727,U can't touch this,MC Hammer
728,Rosa gris,Duncan Dhu
729,Sacrifice,Elton John
730,Ooops Up,Snap!
731,Praying for time,George Michael
732,Canciones lejanas,Eros Ramazzotti
733,Los tejados,Cómplices
734,Blaze of glory,Jon Bon Jovi
735,Suicide blonde,INXS
736,It must have been love,Roxette
737,Espaldas mojadas,Tam Tam Go!
738,Acércate y bésame,La Trampa
739,Fueron los celos,La Unión
740,I've been thinking about you,Londonbeat
741,I'm your baby tonight,Whitney Houston
742,You gotta love someone,Elton John
743,Have you seen her,MC Hammer
744,Entre dos tierras,Héroes del Silencio
745,Are you dreaming?,Twenty 4 Seven
746,Freedom! '90,George Michael
747,Rita,Hombres G
748,Sadeness,Enigma
749,"Ice, ice, baby",Vanilla Ice
750,Este payo (en castellano),Tam Tam Go!
751,Volver a casa,La Trampa
752,Innuendo,Queen
753,Ella es un volcán,La Unión
754,Gonna make you sweat (Everybody dance now),C+C Music Factory
755,All the man that I need,Whitney Houston
756,Coming out of the dark,Gloria Estefan
757,Maldito duende,Héroes del Silencio
758,Pray,MC Hammer
759,Cuidado con Paloma,Emilio Aragón
760,Gente impresentable,Celtas Cortos
761,The Grease megamix,John Travolta
762,Joyride,Roxette
763,¡Cómo te mueves!,Modestia Aparte
764,All together now,The Farm
765,Bailar pegados,Sergio Dalma
766,Llueve en mi corazón,Tennessee
767,Dámelo ya,La Unión
768,Let there be love,Simple Minds
769,Chiquilla,Seguridad Social
770,Loco vox,Loco Mía
771,El 7 de septiembre,Mecano
772,Palabras de fuego,La Frontera
773,Despertar,Héroes del Silencio
774,The one and only,Chesney Hawkes
775,El amoto,No me pises que llevo Chanclas
